username,id,followersCount
lebaskhab5xl,35529781281,7309
elinor_boutique,6424653785,816602
adakmode,3207770408,11157
nicy_mezon,5650799435,1452281
bigsize.gelariss,25340313113,238088
atlasii.ir,56332712559,33385
majlesi_tehran,40291961894,123216
topstyle_vip,50691930392,280857
malakee.shop,58242745533,7307
oweis.qeshm,48655457832,21255
merycolllection,35072219541,107912
tolidy_moda,40868091444,22941
ladylandkuka,50702778915,35275
pxelshop,54095788687,58249
alijenab.womens,7689572899,58188
momishik12,14678761656,33499
badikadeh_omde,52403253613,71226
raika_online_shop,46254512107,33139
pooshak.soheil,3159592671,238015
majlesi_arzan,22153540046,140407
modaa.home,39368608001,19973
tolidi_farid,49730034154,65113
ana_poushak,47217991131,29308
poshak.hani.lady,59221220434,71910
satin.dress,8266286061,136006
elaracollection,44772032544,9856
parsimezon,1938698649,1667546
mahsetishop,7471967051,198926
janan.gallery.ir,6319956756,131633
neev.ir,34360294503,82710
chooblebasi.sari,11393559007,35887
orginal_kord,53068790145,6289
toolidi_tannaz,48030302874,34649
poshakedaymod,7500124279,1198
titi.shop66,11046143382,8435
blstylish,53334392847,97044
hanar_underwears,16404408526,18817
manto.parmeis,44991064033,63138
sunteen.ir,9041022140,10333
elen.mezon,53308398239,12751
gallery_mike_lanj369,46605564345,22785
yasna.clothing,44411385051,146262
pino_bikini,6035967505,93073
mioo_boutique,4480204203,65506
missstylebtq,8559409773,36235
stock_fardin,48548290520,20614
pooshakk_off,32015523412,3703
alo.omde,38249037829,45760
stock_tik,50930338749,10260
tanposhe_shahkar_bnd,36071267891,
style_mahan,63771902114,2907
hiwaashop,49144437895,28662
foorooshgah_rose,19333518202,23778
mezonn21,1818535584,12059
rosemari.boutique,39741312798,11370
_algey,4281998899,20724
nsrin_design,48536397074,23868
nira.set,53072708247,5151
pooshanik.ir,15122780258,3097
pushak_karimiafshar,41416837902,47445
pooshak_sarina2,15948125420,11592
roshagalleryi,2309263526,23824
hiimanshop,4531884878,25480
modaliin_gallery,56774607182,18709
53sport_shop,53468671791,26099
fasa_mahdokht,60507799038,1015
mahpari.shop,27912311669,48951
poushak_tehran,8291877365,42492
pino__shop,5625782528,269331
deniz_stylee1,40022190163,41462
khaliil.shop,56860238304,23781
esmara_shop_ahvaz,6269937573,6189
blueland_boutique,57287455374,7007
selina.shop1,6575297808,15103
reem___onlineshop,12603252231,132909
shaadpoosh.ir,46959676682,31931
faranak.mezon2,12744162224,345217
marryland.shop,48556003129,5976
zhoan.shop,6694243542,5433
7set_arak,11432729965,18545
mezonmobina,7539234810,28670
sportchi7,21781094400,77106
missanna.storee,61984417700,9679
mezondia,44585221907,151534
avin_taak,70834083592,8799
tapland.majlesi,7552848855,21253
terme.lady,31470512028,4554
dorshell__design,48658751556,87563
mandana.collection1,50353862882,4341
janan_mzone,51241844779,81044
fashion_women_iliya,1143544720,18623
aylin.shop.abadan,1926870295,25955
nesoutram,4853843599,6160
karma.gallery,2346573839,630704
sarviin.collection,7916401025,6486
arianshiko,49702396530,6263
pooshesh__jonoobi,15044887726,97761
melorinanzali,8549947087,35944
gallery_fil,15446252141,4806
nelin_mezon,4667793445,838548
