username,externalUrl,followersCount
paaiezan,http://paaiezan.ir/,293998
lavazem_khanegi_alisan,https://wa.me/989038142118,98548
hadishopdehshikh,https://t.me/hadishopdehshikh,73685
lavazeme_khanegi_ahmadi,http://wa.me/09141462975,123570
bazarganii_genave,https://wa.me/message/VEH7OZ4AKPHGE1,103454
lavazem_khongi_fadaei,https://whatsapp.com/channel/0029VaKIb0NICVfovMsOGl24,30049
majid.owjii,http://www.ojikala.com/,7626
hoko7irm,https://zil.ink/hoko7irm,761201
cookabzar,https://cookabzar.com/,1038401
mastoorihome,https://mastoorihome.ir/,172092
abdolmaleki.shops,,33088
ahmadishop2021,,12372
zarrabi.yazd,https://www.zarrabishop.ir/,98416
samenshahrood,https://zil.ink/Samenshahrood,20064
hashemi.kala,https://t.me/hashemiblour1,8812
vkalaaa.ir,https://vkalaaa.ir/,39301
entekhabeman.official,https://zil.ink/entekhabeman.official,222058
kala_land_ir,https://t.me/kala_land_iir,129718
lawazemkhangi_mahmodi_baneh,https://zil.ink/mahmodi_baneh,747466
khoy.zekri,https://wa.me/message/HTD7XLTU5V6HN1,28915
aknab.center,http://www.aknab.com/,12077
baneh___kala,https://zil.ink/baneh___kala,75790
banehbazar_com,http://banehbazaar.com/,378160
mebashi.shop,http://wa.me/989177744294,5796
ojikala_com,https://ojikala.com/,115101
jahankalaa,http://www.jahankalaa.com/,308795
hatef_pakhsh,http://hatefpakhsh.ir/,85202
lavazemkhanegi_stock2020,https://wa.me/989126902014,58477
baneh_shop25,,337781
saadat_shop,http://www.saadatshop.net/,10351
asbaghi_store,,12196
tabriz_ev,,1394
khodaparast_store,https://zil.ink/khodaparast_store,18963
nasa_electric_company,https://yek.link/nasa-electric-company,23682
marcotejarat,http://www.marcotejarat.com/,170702
lavazemparsin,http://www.pkahome.com/,32848
altonhome,http://www.alton-home.com/,73199
luxware,https://cookabzar.com/,347204
baneh.star99,http://www.banehstar99.com/,234535
esper.lux,,5636
bazargani.setare.gharb,,802486
begheymat,http://www.begheymat.shop/,124642
saljooghi.store,http://saljooghistore.ir/,11343
gr.kalaa,https://www.grkala.com/,11726
khoshpokht.com_,http://www.khoshpokht.com/,596753
jahaz.baneh,http://zil.ink/jahaz.baneh,273050
hamed_gallery.ir,https://t.me/gallery_hamed021,5185
azizi_kala1,,53979
mr.kala.shop,https://mr-kala-shop.ir/,417987
lavazem_khanegi_tiaab,https://chat.whatsapp.com/KDVmtmqbDoH0OeHIcTPc6m,21671
originalkala_baneh,https://zil.ink/originalkala,1120100
shikson_kala,http://wa.me/+989373152458,113053
ct_.kala,,451247
kalay.shiri12130,https://t.me/kalayshiri12130,12362
unique_store47,,1890
titigalllery,https://t.me/titi_shop_gallery,378729
sheyykhi,,448794
gilankala98,http://t.me/gilankala98,8043
lariran,http://lariran.com/,9403
jahaz_kala1,http://www.jahazkala.com/,260354
hzkala_,,201222
lavazem_kh_bahari,,5211
abhome1,https://maps.app.goo.gl/zCeJhtD9euShxnu88?g_st=ic,46899
arkana.home,https://zil.ink/arkana.home,30425
azin.store,http://www.azinstore.ir/,35669
lavazem_khanegi_loox,https://wa.me/989131581291,29650
samkalaa,https://samkalaa.ir/,256509
nazari_shopcenter,https://www.nazari.store/,591292
abd.kala.ir,https://b2n.ir/b50695,16470
abnar.shop,https://g.co/kgs/ELjWFW2,5668
lavazem.khanegii.orginal,,19325
rostamistore,http://rostami-store.ir/,113587
lavazemkhanegimiralaei,,12692
eight.kala,http://eightkala.ir/,187658
lianshop2019,https://zil.ink/lian.shop,40676
nikkala75,http://nikkala75.ir/,31427
lavazem.khanegi.2000,,22365
khaneziba4,https://www.khanezibashop.com/,11676
home_luxury_kian,https://wa.me/message/KIFQU4L3TJSLP1,133723
baneh_kadbano,,22069
l.hamshahri,,45033
lavazemkhanegigolesorkh,http://golesorkh24.com/,128606
mehrabankalaa_,https://wa.me/989112465364,21540
lavazemashpazkhanet,https://t.me/lavazemashpazkhanet,4018
smeg_jan_bandarabbas,http://www.smegjan.com/,28005
tapeshkalaa,https://wa.me/989183845064,37267
lavazem_khanegi_chamani,https://zil.ink/hhkala,14694
atropat_tab,http://www.atropatshop.ir/,7305
yamrali_home,https://t.me/a_0azi,10655
hemmati20home,https://t.me/hemmati20home,14426
farsh.mobleman.rostami,,20394
fallah_kala,,25489
iranmaier.ir,http://www.iranmaier.ir/,13182
bazargani.rezaie,https://zil.ink/bazargani.rezaie,135874
iraniankala_ir,http://www.irkalla.ir/,18855
luxgallery_neda,,39321
khaneye_mehr,,29034
evaletleri_marand,http://evaletlerimarand.ir/,5642
fakir.ir,http://fakir.ir/,141199
