username,id,followersCount
rastaunderwear.store,61346508261,178
delsin.shop,49762606354,7070
tannaz__center,56809084804,786
botick.set,29848973891,1973
torkbrand_ir,35683638057,1300
underwear_kimia,13251034154,2934
_.rokhak._,34213947014,3691
lebas_farogoltasilii2,49620304230,4267
shahdokht.collection,28704809377,78092
khanomgol_402,53552188893,165
novinmiss,51645359362,29
yasham._.shop,61241638938,891
underwear_kimiaa,61298866558,397
kidsclothes_fashion,47666716316,12967
rojan11360,60218445894,1276
javiermilei,5728395069,6037563
marin_honda,1505090026,1341304
kumarsumitkarm,49760150692,123
lebas.winx,32964834622,4269
afshartikk,60001698634,564050
ll__smarty__raja___ll,45569204189,1814
arashi_5_official,18489842986,4424449
dpz__cartoon__,44784454962,27886
tantala_gallery,46110848172,
anikhasurendran,2873819403,3016205
