username,category,status,followersCount
delsin.shop,fashion,pending,0
tannaz__center,fashion,pending,0
botick.set,fashion,pending,0
torkbrand_ir,fashion,pending,0
underwear_kimia,fashion,pending,0
_.rokhak._,fashion,pending,0
lebas_farogoltasilii2,fashion,pending,0
shahdokht.collection,fashion,pending,0
khanomgol_402,fashion,pending,0
novinmiss,fashion,pending,0
yasham._.shop,fashion,pending,0
underwear_kimiaa,fashion,pending,0
kidsclothes_fashion,fashion,pending,0
rojan11360,fashion,pending,0
javiermilei,fashion,pending,0
marin_honda,fashion,pending,0
kumarsumitkarm,fashion,pending,0
lebas.winx,fashion,pending,0
afshartikk,fashion,pending,0
ll__smarty__raja___ll,fashion,pending,0
arashi_5_official,fashion,pending,0
dpz__cartoon__,fashion,pending,0
tantala_gallery,fashion,pending,0
anikhasurendran,fashion,pending,0 
