username,category,status,followersCount
javiermilei,fashion,pending,6037563.0
arashi_5_official,fashion,pending,4424449.0
anikhasurendran,fashion,pending,3016205.0
marin_honda,fashion,pending,1341304.0
originalkala_baneh,home_decor,pending,1120100.0
cookabzar,home_decor,pending,1038401.0
bazargani.setare.gharb,home_decor,pending,802486.0
hoko7irm,home_decor,pending,761201.0
lawazemkhangi_mahmodi_baneh,home_decor,pending,747466.0
khoshpokht.com_,home_decor,pending,596753.0
nazari_shopcenter,home_decor,pending,591292.0
afshartikk,fashion,pending,564050.0
ct_.kala,home_decor,pending,451247.0
sheyykhi,home_decor,pending,448794.0
mr.kala.shop,home_decor,pending,417987.0
titigalllery,home_decor,pending,378729.0
banehbazar_com,home_decor,pending,378160.0
luxware,home_decor,pending,347204.0
baneh_shop25,home_decor,pending,337781.0
jahankalaa,home_decor,pending,308795.0
zojita.ir,cosmetics,pending,304393.0
baby.food.ir,cosmetics,pending,295471.0
paaiezan,home_decor,pending,293998.0
jahaz.baneh,home_decor,pending,273050.0
ng_cosmetic_shop,cosmetics,pending,270623.0
jahaz_kala1,home_decor,pending,260354.0
samkalaa,home_decor,pending,256509.0
baneh.star99,home_decor,pending,234535.0
entekhabeman.official,home_decor,pending,222058.0
hzkala_,home_decor,pending,201222.0
eight.kala,home_decor,pending,187658.0
mastoorihome,home_decor,pending,172092.0
marcotejarat,home_decor,pending,170702.0
zhiin_shop,cosmetics,pending,150533.0
gallery.delvin,cosmetics,pending,141743.0
fakir.ir,home_decor,pending,141199.0
rainbow.cosmeticshop,cosmetics,pending,136572.0
bazargani.rezaie,home_decor,pending,135874.0
home_luxury_kian,home_decor,pending,133723.0
kala_land_ir,home_decor,pending,129718.0
lavazemkhanegigolesorkh,home_decor,pending,128606.0
begheymat,home_decor,pending,124642.0
lavazeme_khanegi_ahmadi,home_decor,pending,123570.0
ojikala_com,home_decor,pending,115101.0
rostamistore,home_decor,pending,113587.0
shikson_kala,home_decor,pending,113053.0
bazarganii_genave,home_decor,pending,103454.0
lavazem_khanegi_alisan,home_decor,pending,98548.0
zarrabi.yazd,home_decor,pending,98416.0
elysee_cosmetics,cosmetics,pending,97009.0
hatef_pakhsh,home_decor,pending,85202.0
deluxe_cosmetics_store,cosmetics,pending,78336.0
shahdokht.collection,fashion,pending,78092.0
baneh___kala,home_decor,pending,75790.0
hadishopdehshikh,home_decor,pending,73685.0
farzib_products,cosmetics,pending,73573.0
altonhome,home_decor,pending,73199.0
tahlenji_daryaa,cosmetics,pending,71077.0
londonland.healthy,cosmetics,pending,67843.0
bahareh__shop,cosmetics,pending,64169.0
unjecellcosmetics,cosmetics,pending,61389.0
lavazemkhanegi_stock2020,home_decor,pending,58477.0
attari_khalifeh,cosmetics,pending,56661.0
zhe_gallery_,cosmetics,pending,55312.0
azizi_kala1,home_decor,pending,53979.0
azin.beautyshop,cosmetics,pending,53459.0
araliashop_ir,cosmetics,pending,51097.0
nazanin_beauty_o,cosmetics,pending,48200.0
abhome1,home_decor,pending,46899.0
l.hamshahri,home_decor,pending,45033.0
daviin.beauty,cosmetics,pending,43954.0
drtaherkhanii,cosmetics,pending,43030.0
pardis_makeup_,cosmetics,pending,41239.0
lianshop2019,home_decor,pending,40676.0
oceano.soaps,cosmetics,pending,40364.0
luxgallery_neda,home_decor,pending,39321.0
vkalaaa.ir,home_decor,pending,39301.0
mahsolate.norgol.bul,cosmetics,pending,37429.0
tapeshkalaa,home_decor,pending,37267.0
azin.store,home_decor,pending,35669.0
ballonx1,cosmetics,pending,35636.0
unikshoop,cosmetics,pending,33663.0
afko.onlineshop,cosmetics,pending,33290.0
abdolmaleki.shops,home_decor,pending,33088.0
lavazemparsin,home_decor,pending,32848.0
nikkala75,home_decor,pending,31427.0
arkana.home,home_decor,pending,30425.0
lavazem_khongi_fadaei,home_decor,pending,30049.0
etro_shopp,cosmetics,pending,29693.0
lavazem_khanegi_loox,home_decor,pending,29650.0
khaneye_mehr,home_decor,pending,29034.0
khoy.zekri,home_decor,pending,28915.0
smeg_jan_bandarabbas,home_decor,pending,28005.0
dpz__cartoon__,fashion,pending,27886.0
ellbeauty.ir,cosmetics,pending,26635.0
fallah_kala,home_decor,pending,25489.0
nasa_electric_company,home_decor,pending,23682.0
