username,category,status,followersCount
lebaskhab5xl,fashion,pending,0
elinor_boutique,fashion,pending,0
adakmode,fashion,pending,0
nicy_mezon,fashion,pending,0
bigsize.gelariss,fashion,pending,0
atlasii.ir,fashion,pending,0
majlesi_tehran,fashion,pending,0
topstyle_vip,fashion,pending,0
malakee.shop,fashion,pending,0
oweis.qeshm,fashion,pending,0
merycolllection,fashion,pending,0
tolidy_moda,fashion,pending,0
ladylandkuka,fashion,pending,0
pxelshop,fashion,pending,0
alijenab.womens,fashion,pending,0
momishik12,fashion,pending,0
badikadeh_omde,fashion,pending,0
raika_online_shop,fashion,pending,0
pooshak.soheil,fashion,pending,0
majlesi_arzan,fashion,pending,0
modaa.home,fashion,pending,0
tolidi_farid,fashion,pending,0
ana_poushak,fashion,pending,0
poshak.hani.lady,fashion,pending,0
satin.dress,fashion,pending,0 
